DOB,Height,Reach,SApM,SLpM,STANCE,Str. Acc.,Str. Def,Sub. Avg.,TD Acc.,TD Avg.,TD Def.,Weight,fighter_id,name,record
"Jun 10, 2000","5' 7""","72""",2.24,3.33,Orthodox,48%,65%,0.0,0%,0.00,69%,145 lbs.,480779d7f9a424d3,Mairon Santos,18-1-0
"Oct 31, 1985","6' 2""",--,2.10,0.97,Orthodox,30%,31%,0.5,0%,0.00,66%,170 lbs.,480b702debcb5433,Dan Cramer,11-4-0
"Mar 15, 1977","5' 4""","66""",2.01,2.09,Southpaw,45%,57%,0.0,22%,0.41,45%,135 lbs.,4834ff149dc9542a,Norifumi Yamamoto,18-6-0 (2 NC)
"Jun 13, 1989","5' 6""","70""",6.21,4.55,Orthodox,44%,46%,0.0,52%,4.28,40%,185 lbs.,483a953b18d73bb3,Deron Winn,7-3-0
"Apr 13, 1983","6' 2""","77""",3.58,3.23,Orthodox,50%,51%,1.3,40%,0.20,66%,170 lbs.,484acc7b0f856ce9,Ben Saunders,22-13-2
"Jan 17, 1999","5' 6""","71""",4.14,1.66,Orthodox,40%,30%,0.4,27%,2.54,55%,125 lbs.,48812daf291a4e23,Mateus Mendonca,10-3-0
"Sep 27, 1997","5' 10""","72""",5.86,4.76,Orthodox,47%,50%,0.0,16%,0.99,76%,155 lbs.,48a9a128784d53d1,Elves Brener,16-6-0
"Apr 03, 1977","6' 1""","73""",1.10,3.08,Southpaw,43%,62%,0.4,59%,3.81,66%,205 lbs.,48d1f690b763934c,Chael Sonnen,29-15-1
"Dec 16, 1983","5' 7""","69""",3.27,3.37,Orthodox,37%,57%,0.1,57%,1.46,70%,135 lbs.,48e093ea1f43a053,Takeya Mizugaki,21-11-2
"Jul 11, 1981","5' 6""",--,2.87,1.60,Orthodox,64%,50%,0.0,66%,2.00,75%,145 lbs.,48e96d9cea6d4ab0,Josh Clopton,6-2-1
"Mar 13, 1977","6' 7""",--,4.24,2.73,Orthodox,31%,49%,1.0,71%,1.72,0%,265 lbs.,4908c5ee68a50ee5,Brad Imes,13-7-0
"Jul 30, 1977","6' 4""","77""",2.64,3.59,Orthodox,52%,55%,1.2,31%,1.75,31%,231 lbs.,492b202d2064e7a9,Fabricio Werdum,24-9-1
"Feb 20, 1997","5' 5""","65""",3.72,1.91,Orthodox,30%,46%,0.0,50%,0.88,46%,115 lbs.,4948e412fa6ab67d,Ravena Oliveira,7-4-1
"Jun 24, 1987","5' 7""","69""",2.77,1.90,Orthodox,47%,39%,0.6,43%,2.22,36%,170 lbs.,494b0bfdbac74502,Brendan O'Reilly,6-3-0 (1 NC)
--,"6' 5""",--,0.00,0.00,,0%,0%,0.0,0%,0.00,0%,275 lbs.,49590e0508b2c19f,David Levicki,1-3-0
"Jun 25, 1995","5' 3""","63""",2.57,4.93,Switch,50%,64%,0.2,33%,0.25,66%,115 lbs.,4959f10a62f3fec3,Cheyanne Vlismas,7-3-0
"Jul 07, 1975","5' 11""","71""",1.78,2.66,Orthodox,40%,65%,1.3,25%,2.37,25%,205 lbs.,497ba5b12a4bfc47,Jason Brilz,22-6-1
--,--,--,0.00,0.00,,0%,0%,0.0,0%,0.00,0%,--,4985113c0928aa62,Jackie Lee,0-1-0
"Jun 10, 1981","6' 1""","74""",2.62,3.66,Orthodox,51%,66%,0.0,76%,1.94,73%,170 lbs.,49858bf46dabf6fb,Nordine Taleb,15-7-0
"Aug 30, 1979","5' 4""","64""",3.79,3.56,Orthodox,41%,58%,1.6,27%,0.78,53%,125 lbs.,49a74b9fb2e45fdf,Neil Seery,16-13-0
"Jun 01, 1991","5' 4""","63""",6.06,2.36,Southpaw,44%,38%,0.4,26%,1.61,20%,135 lbs.,49b130de1da2e1bf,Sarah Alpar,9-6-0
"Nov 19, 1993","6' 5""","76""",2.68,2.38,Orthodox,46%,49%,0.3,80%,1.36,33%,185 lbs.,49d2a08964c5eb11,Nursulton Ruziboev,37-9-2 (2 NC)
"Jan 16, 1984","5' 10""",--,3.43,1.71,,33%,11%,0.0,0%,0.00,0%,185 lbs.,49e49b54e5901d0d,Eddie Mendez,8-3-1 (1 NC)
"Sep 17, 1991","6' 3""","79""",2.39,2.90,Orthodox,59%,56%,0.8,30%,0.76,50%,205 lbs.,49e96ff8ab781589,Tyson Pedro,10-5-0
"Sep 08, 1996","6' 3""","81""",3.91,3.04,Orthodox,42%,53%,0.6,42%,0.85,21%,205 lbs.,49edd0d90f60fb7d,Brendson Ribeiro,17-10-0 (1 NC)
"Nov 16, 1987","6' 1""","76""",5.42,7.49,Orthodox,55%,53%,0.0,57%,1.80,71%,170 lbs.,49ee5024966efc0d,Mounir Lazzez,11-3-0
"Mar 12, 1980","6' 3""",--,2.50,0.17,Orthodox,15%,28%,0.0,0%,0.00,14%,235 lbs.,49efbdc6c9f650c4,Icho Larenas,6-5-0
"Nov 10, 1988","5' 9""",--,4.45,3.25,Orthodox,43%,54%,0.7,58%,2.53,77%,155 lbs.,49f4b511932f71e9,David Michaud,11-3-0
"Jan 31, 1991","5' 11""",--,5.20,5.37,Orthodox,45%,56%,2.4,75%,7.32,0%,155 lbs.,49f78022126bf4a4,Cesar Arzamendia,8-3-0
--,"6' 0""",--,4.00,0.00,Southpaw,0%,66%,0.0,0%,0.00,0%,155 lbs.,4a01dc8376736ef5,John Lewis,3-4-3
"Feb 17, 1995","5' 3""","64""",2.18,2.18,Southpaw,30%,63%,0.0,33%,2.72,0%,125 lbs.,4a043165cf47cab2,Juancamilo Ronderos,4-2-0
"Sep 24, 1993","5' 10""","71""",1.42,2.73,Southpaw,59%,58%,0.3,63%,4.00,75%,170 lbs.,4a07b1988477502c,Seokhyeon Ko,13-2-0
"Oct 16, 1983","5' 8""","71""",3.19,4.11,Orthodox,44%,66%,0.3,36%,1.85,63%,145 lbs.,4a1329cc8eb0928a,Maximo Blanco,12-8-1 (1 NC)
"Feb 11, 1983","6' 0""","75""",3.00,4.05,Orthodox,46%,54%,0.0,35%,0.23,63%,170 lbs.,4a28cb716c19157a,Stephen Thompson,17-9-1
"Oct 13, 1993","5' 7""","73""",3.06,6.28,Orthodox,47%,41%,0.0,50%,1.27,50%,145 lbs.,4a574b8512fc1b30,Javier Reyes,23-6-0
"Aug 10, 1985","5' 4""","63""",3.10,2.97,Orthodox,43%,58%,0.2,28%,1.12,52%,115 lbs.,4a57ebb14315b251,Randa Markos,11-12-1
"Jan 28, 1996","5' 7""","68""",2.57,2.93,Orthodox,55%,68%,0.0,33%,1.50,100%,135 lbs.,4a6dff1b260bcf61,Aleksandre Topuria,7-1-0
"Nov 23, 1992","6' 1""","75""",4.24,3.77,Switch,42%,54%,0.4,57%,1.01,45%,170 lbs.,4aa58269d0664b5b,Matthew Semelsberger,11-8-0
"Nov 23, 1985","5' 11""","71""",2.94,2.50,Orthodox,39%,52%,0.0,40%,2.33,23%,155 lbs.,4ac1ecf8ce59ef23,Jason Saggo,12-4-0
"Aug 31, 1990","5' 9""",--,3.33,1.33,Orthodox,27%,60%,0.0,50%,1.50,50%,135 lbs.,4ae4049426e0161d,Alexis Dufresne,6-3-0
"May 02, 1982","6' 0""","77""",3.70,3.23,Orthodox,38%,47%,0.0,20%,1.85,50%,170 lbs.,4b1d46a1b5c0fd11,Alberto Mina,13-1-0
"Oct 05, 1972","6' 3""","75""",3.77,2.27,Orthodox,43%,53%,1.1,22%,2.03,33%,205 lbs.,4b4753d19489297f,Anthony Perosh,15-10-0
"Feb 20, 1984","6' 2""","75""",3.65,5.04,Orthodox,49%,60%,0.2,40%,1.14,64%,170 lbs.,4b47e71384a9522f,Tim Means,33-17-1 (1 NC)
"Mar 01, 1977","6' 2""",--,1.60,1.47,Orthodox,35%,44%,0.5,25%,0.50,74%,205 lbs.,4b4fc3ddc307bc73,James Zikic,21-10-2
"Nov 19, 1998","5' 8""","70""",2.56,2.42,Orthodox,48%,57%,0.0,0%,0.00,66%,170 lbs.,4b85abc5abbe657c,Jefferson Nascimento,13-1-0
"Sep 17, 1987","5' 11""","73""",2.44,0.97,Orthodox,38%,39%,3.8,0%,0.00,38%,170 lbs.,4b8fb0453a596b8e,Hector Urbina,17-10-1
"Apr 24, 1986","5' 8""","71""",4.51,3.91,Orthodox,49%,43%,0.5,37%,1.88,61%,155 lbs.,4b93a88f3b1de35b,Michael Chandler,23-11-0
"Aug 02, 1984","6' 0""","75""",2.91,2.96,Southpaw,35%,55%,0.6,28%,0.62,66%,205 lbs.,4ba8d454f762005d,Zak Cummings,25-7-0
"Mar 10, 1979","6' 1""","77""",2.95,2.98,Orthodox,45%,58%,0.2,55%,0.95,50%,185 lbs.,4bcb6eb12b4ad4aa,Vitor Miranda,12-5-0
"May 11, 1985","5' 11""","72""",3.21,2.01,Orthodox,40%,49%,2.3,34%,1.74,39%,145 lbs.,4bd6b4800070b069,Chas Skelly,19-3-0 (1 NC)
"Nov 15, 1995","5' 10""","73""",5.12,6.42,Orthodox,45%,61%,0.0,57%,1.02,75%,155 lbs.,4bdedbdeedff7d1d,Bolaji Oki,10-4-0
"Jan 05, 1990","6' 0""","73""",2.96,1.31,Southpaw,47%,40%,0.8,42%,1.20,54%,135 lbs.,4bf6b225ff6099c4,Domingo Pilarte,8-3-0 (1 NC)
"Feb 12, 1988","5' 11""","72""",3.17,2.93,Orthodox,43%,58%,0.0,100%,0.25,86%,170 lbs.,4c288a2b250bb576,Luke Jumeau,13-5-0
"Oct 04, 1984","5' 6""","68""",4.45,4.63,Orthodox,49%,54%,0.7,44%,0.95,34%,135 lbs.,4c2d90e335e6df19,Alexis Davis,21-11-0
"Oct 01, 1983","6' 1""","74""",1.86,2.89,Southpaw,40%,63%,0.2,44%,2.13,58%,170 lbs.,4c7781da8c6cae93,Ryan LaFlare,14-3-0
"Apr 12, 1974","5' 6""",--,0.00,0.00,Orthodox,0%,0%,0.0,0%,0.00,0%,170 lbs.,4c805f5f58a75df0,Mikey Burnett,5-2-0
"May 13, 1988","6' 1""","77""",3.34,3.19,Orthodox,41%,52%,0.0,21%,0.42,66%,155 lbs.,4c88a1db5a46c6a4,Jai Herbert,14-6-1
"Mar 30, 1988","5' 10""",--,4.09,1.34,Orthodox,25%,61%,2.7,33%,1.63,80%,155 lbs.,4c8d6fde2dde07c4,Dan Lauzon,17-6-0
"Jul 31, 1993","5' 8""","72""",5.46,5.19,Orthodox,40%,52%,0.0,18%,0.63,64%,145 lbs.,4cd8b03aee1d0138,Shane Young,13-8-0
"May 15, 1983","6' 0""","74""",2.41,2.50,Southpaw,42%,60%,1.4,32%,2.46,57%,205 lbs.,4d44f37107f01b9b,Tom Lawlor,10-6-0 (1 NC)
"Mar 26, 1994","5' 4""","65""",2.62,3.35,Orthodox,52%,42%,1.0,33%,1.27,34%,115 lbs.,4d5197f331c47290,Paige VanZant,8-5-0
--,"5' 11""",--,0.00,0.00,Orthodox,0%,0%,0.0,0%,0.00,0%,170 lbs.,4d74641fac830182,Brad Gumm,10-6-1 (1 NC)
"May 18, 1995","6' 3""","77""",4.54,5.79,Southpaw,48%,41%,1.1,55%,0.75,75%,155 lbs.,4d8fa64202cee4c1,Jalin Turner,15-9-0
--,"6' 5""",--,0.00,0.00,Orthodox,0%,0%,0.0,0%,0.00,0%,275 lbs.,4dc496aa0cfc0d95,Harry Moskowitz,6-12-0
"Jul 22, 1996","6' 0""","72""",4.17,3.23,Orthodox,51%,45%,0.8,20%,1.55,42%,170 lbs.,4dcfb28c011c11b2,Wellington Turman,18-8-0
"Aug 19, 1989","6' 1""","77""",2.23,2.98,Southpaw,42%,57%,0.1,39%,1.33,82%,185 lbs.,4e06913c91da5200,Krzysztof Jotko,24-6-0
"May 26, 1985","6' 0""","74""",4.01,5.34,Orthodox,48%,63%,0.0,100%,0.27,75%,170 lbs.,4e0692ad070976e4,Lyman Good,21-6-0 (1 NC)
"Jan 18, 1996","5' 1""","61""",2.45,3.58,Orthodox,55%,53%,0.1,50%,1.76,70%,115 lbs.,4e30e4250cb08b61,Loma Lookboonmee,10-5-0
"Aug 06, 1995","6' 2""","79""",2.64,1.97,Orthodox,44%,53%,0.2,31%,1.30,33%,185 lbs.,4e6738062d469256,Sedriques Dumas,10-5-0 (1 NC)
"Nov 11, 1978","6' 3""",--,8.80,2.60,Orthodox,36%,40%,0.0,0%,0.00,90%,260 lbs.,4e9fb05d7e5e61b8,Wesley Correira,20-16-0
"Jul 30, 1987","5' 9""",--,5.90,2.19,Orthodox,26%,45%,0.0,0%,0.00,40%,155 lbs.,4f11e9ce318ffbcb,Anthony Christodoulou,12-7-0
"Feb 02, 1988","5' 9""","73""",5.17,1.86,Orthodox,36%,41%,1.8,34%,2.94,66%,145 lbs.,4f140403000158b5,Herbert Burns,11-6-0
"Feb 09, 1982","6' 1""",--,2.33,2.68,Orthodox,53%,49%,1.8,68%,6.51,0%,185 lbs.,4f2fcbefb668689d,Jake Rosholt,12-5-0 (1 NC)
"Jul 27, 1998","5' 6""","68""",4.46,2.91,Orthodox,53%,49%,0.7,0%,0.00,35%,135 lbs.,4f3064faf17aa711,Tamires Vidal,7-4-0
"Apr 23, 1982","5' 6""",--,3.58,1.64,Orthodox,32%,62%,0.7,40%,1.33,0%,155 lbs.,4f4dac51adc1af4f,Diego Saraiva,22-20-1
"Sep 26, 1984","5' 8""","69""",4.09,3.68,Orthodox,40%,62%,0.0,35%,0.74,75%,155 lbs.,4f732e58ed907eff,Ross Pearson,20-16-0 (1 NC)
"Jul 12, 1981","5' 10""","73""",1.85,1.24,Orthodox,34%,55%,1.4,0%,0.00,52%,170 lbs.,4f736494fc733095,Carlos Eduardo Rocha,9-4-0
"Apr 20, 1978","6' 0""",--,1.64,0.49,Southpaw,30%,47%,1.2,17%,0.84,21%,170 lbs.,4f74c8be51db8a37,Daiju Takase,12-15-2
"Jun 25, 1981","5' 11""","72""",4.07,2.03,Switch,47%,35%,1.7,9%,0.43,57%,155 lbs.,4f853e98886283cf,Carlo Prater,31-18-1
"Feb 10, 1976","5' 11""","72""",5.16,1.48,Orthodox,30%,49%,1.0,50%,0.33,57%,205 lbs.,4f95f74620a6b7a4,David Heath,18-7-0
"Jul 11, 1991","5' 5""",--,4.90,3.74,Orthodox,71%,32%,0.0,12%,1.75,100%,115 lbs.,4fcf6e0c4e0e6664,Izabela Badurek,6-3-0
"Apr 23, 1984","5' 9""","70""",4.08,4.17,Orthodox,28%,57%,0.1,38%,0.63,77%,155 lbs.,501b07aec9b8fc2d,Sam Stout,20-12-1
--,"6' 3""",--,0.00,0.00,,0%,0%,0.0,0%,0.00,0%,210 lbs.,505934897b8b4824,Thaddeus Luster,0-1-0
"Apr 16, 2000","5' 6""","67""",2.45,2.53,Orthodox,53%,64%,1.0,37%,2.14,85%,135 lbs.,5078e1dacf9d25f4,Luana Santos,11-2-0
"Jul 12, 1990","5' 8""","68""",4.15,3.81,Switch,48%,53%,0.6,7%,0.31,71%,145 lbs.,5095b0920a3602aa,Blake Bilder,8-2-1
"Nov 14, 1995","5' 8""","69""",0.88,2.05,Orthodox,51%,58%,1.9,48%,6.63,83%,135 lbs.,50a28b9f8314e008,Saidyokub Kakhramonov,10-3-0
"Aug 19, 1977","6' 4""",--,1.15,1.85,Orthodox,51%,61%,1.0,39%,2.30,40%,265 lbs.,50cc91ce2982785d,Ricco Rodriguez,53-25-0 (1 NC)
"Jul 20, 1983","6' 0""","72""",2.57,2.57,Orthodox,36%,50%,1.1,37%,3.08,55%,155 lbs.,50d2f0018bcf9eef,Pat Healy,34-23-0 (1 NC)
"Apr 08, 1983","6' 3""","80""",3.33,3.03,Southpaw,47%,47%,0.5,36%,1.09,67%,205 lbs.,50db8711c70196cd,Ovince Saint Preux,27-18-0
"May 04, 1990","5' 4""","62""",4.65,5.28,Orthodox,49%,62%,0.5,36%,1.78,38%,115 lbs.,51018a31ddf31eb2,Molly McCann,14-8-0
"Jul 30, 1984","6' 3""",--,2.25,0.83,Orthodox,26%,62%,0.0,20%,1.78,0%,205 lbs.,5114f1b5ad4cdf72,Shane Primm,5-5-0
"Jun 04, 1986","5' 10""","73""",3.78,4.27,Southpaw,39%,58%,0.0,38%,0.57,81%,155 lbs.,511e82663651438d,Michael Johnson,25-20-0
"Jul 12, 1977","6' 3""","81""",2.11,3.53,Orthodox,72%,50%,0.5,55%,3.90,60%,265 lbs.,513c6f1715e547a8,Brock Lesnar,5-3-0 (1 NC)
"Nov 27, 1991","5' 11""","71""",4.49,3.80,Orthodox,33%,56%,0.0,50%,0.33,0%,170 lbs.,5140122c3eecd307,Daichi Abe,6-2-0
"Oct 19, 1988","5' 8""","70""",4.33,4.48,Southpaw,41%,53%,0.1,16%,0.61,58%,155 lbs.,519e4fe37ce9ff75,Drew Dober,29-15-0 (1 NC)
"Feb 19, 1984","5' 6""","66""",2.51,2.78,Orthodox,54%,61%,0.3,51%,2.57,65%,125 lbs.,51a0c09cbe9b8472,Liz Carmouche,13-7-0
"Oct 28, 1979","6' 0""",--,4.62,0.51,Orthodox,50%,57%,5.1,0%,0.00,20%,235 lbs.,51b0bb73a1da34bc,Mike Ciesnolevicz,19-4-0 (1 NC)
"Nov 03, 1980","5' 9""","72""",3.48,2.91,Orthodox,45%,46%,2.1,50%,2.14,50%,145 lbs.,51b1e2fd9872005b,Mackens Semerzier,8-4-0 (1 NC)
"May 12, 1989","5' 6""","66""",7.39,5.96,Switch,39%,55%,0.0,0%,0.00,100%,125 lbs.,51c655162e462ceb,Shannon Ross,13-9-0
"Apr 12, 1991","5' 9""","68""",2.13,4.27,Orthodox,47%,59%,0.3,50%,2.02,66%,135 lbs.,51e2f44a8dbf6984,Melissa Croden,8-3-0
"Feb 27, 1987","5' 10""","72""",5.64,3.68,Orthodox,34%,50%,0.3,80%,1.23,83%,155 lbs.,51e86de150ee8be6,Thibault Gouti,12-5-0
"Jul 17, 1994","5' 7""","71""",3.93,1.60,Orthodox,22%,39%,2.0,0%,0.00,62%,135 lbs.,51ec9dc3b4964f19,Gianni Vazquez,13-5-1
"Apr 04, 1992","5' 7""","70""",1.80,3.93,Orthodox,52%,61%,1.0,0%,0.00,57%,155 lbs.,523af801b3429015,Allan Zuniga,13-1-0
"Jul 06, 1987","6' 3""",--,2.84,3.16,Orthodox,61%,41%,0.0,36%,2.40,62%,205 lbs.,523f6ad11dbe9b53,Hans Stringer,22-8-3
"Dec 12, 1984","5' 11""","75""",3.65,4.50,Orthodox,36%,60%,0.5,24%,1.78,70%,170 lbs.,523fa774700d7d3f,Court McGee,23-14-0
"Jun 11, 1993","5' 6""","69""",3.46,4.65,Orthodox,51%,51%,0.6,37%,0.30,68%,135 lbs.,528b071cf3da7c56,Luana Carolina,11-5-0
"Aug 03, 1978","5' 7""","71""",3.22,2.95,Orthodox,39%,63%,0.4,20%,0.22,58%,135 lbs.,528c24b99fbaab79,Johnny Eduardo,28-13-0
"Nov 05, 1993","5' 11""","73""",4.40,3.03,Southpaw,39%,49%,0.0,13%,1.00,88%,155 lbs.,52b6bf4528130e86,Shem Rock,12-3-1
"Sep 22, 1986","5' 11""","73""",2.97,3.67,Orthodox,49%,51%,0.2,38%,1.62,85%,155 lbs.,52ba464d9068d871,Elias Silverio,13-3-0
"Sep 04, 1996","5' 10""","72""",1.79,2.78,Switch,50%,64%,1.3,31%,1.84,55%,145 lbs.,52c2ae6d2f2d2613,Youssef Zalal,18-6-1
"Mar 18, 1972","6' 0""","72""",2.80,4.96,Open Stance,44%,66%,0.0,33%,0.25,60%,185 lbs.,52cae54377b433b7,Nate Quarry,12-4-0
"Mar 16, 1990","6' 2""","79""",2.14,1.95,Orthodox,42%,52%,0.8,39%,3.42,53%,185 lbs.,52e76bb4b3e852f3,Antonio Carlos Junior,11-5-0 (1 NC)
"Dec 27, 1996","5' 7""","69""",4.50,4.82,Orthodox,51%,53%,0.6,60%,1.20,78%,145 lbs.,52ef95b5860fb28c,Jean Silva,17-3-0
"Mar 19, 2000","5' 11""","75""",2.31,3.43,Orthodox,56%,44%,0.3,50%,1.84,62%,155 lbs.,530af2900b5a1693,Dom Mar Fan,9-3-0
"Jan 02, 1979","6' 0""","74""",4.26,2.25,Orthodox,45%,40%,0.2,29%,0.87,51%,205 lbs.,53278852bcd91e11,Igor Pokrajac,28-13-0 (1 NC)
"Aug 24, 1976","6' 0""",--,1.57,0.78,Orthodox,42%,40%,0.0,0%,0.00,33%,185 lbs.,5330fe7e4c3af81c,Floyd Sword,12-3-0
"Dec 11, 1989","6' 0""","73""",2.59,2.68,Orthodox,37%,58%,1.0,27%,0.71,68%,170 lbs.,5331b25a60417ffb,Anthony Rocco Martin,17-6-0
"Apr 30, 1988","5' 7""","67""",3.58,2.28,Orthodox,34%,50%,0.8,21%,0.67,33%,135 lbs.,539ed332b3078821,Sarah Moras,6-8-0
"May 25, 1981","6' 2""",--,3.07,1.13,Southpaw,34%,40%,1.0,0%,0.00,38%,185 lbs.,53bb0d40905b87c0,Jay Silva,10-11-1
"Oct 29, 1989","5' 7""","69""",4.57,3.17,Orthodox,46%,47%,1.4,25%,1.08,40%,125 lbs.,53c10176e3bc7416,Felipe Bunes,14-9-0
"Aug 17, 1985","6' 2""","78""",3.59,3.80,Orthodox,49%,46%,0.0,33%,1.65,100%,205 lbs.,53c943c873cffe90,Philipe Lins,18-5-0
--,--,--,0.00,0.00,,0%,0%,0.0,0%,0.00,0%,--,53e533db1b8e9712,Jack Nilson,2-6-0
"Aug 28, 1984","5' 11""","73""",3.74,3.00,Orthodox,40%,60%,1.0,33%,0.42,50%,155 lbs.,53ec9cb470e1a4ea,Jon Tuck,10-5-0
"Jul 25, 1984","5' 8""",--,2.08,1.42,Southpaw,47%,56%,0.9,0%,0.00,27%,145 lbs.,53f84637dfffab7a,Eric Wisely,26-9-1
"Aug 26, 1988","5' 11""","72""",2.70,3.68,Southpaw,51%,56%,0.0,33%,1.50,61%,170 lbs.,5431dccc09118234,Lance Benoist,7-2-0
"Jul 15, 1987","5' 10""","75""",5.75,5.52,Orthodox,50%,54%,0.0,0%,0.00,64%,170 lbs.,5442f1bc4b47eaf3,Chris Curtis,32-13-0 (1 NC)
"May 19, 1991","6' 4""","79""",4.03,6.19,Southpaw,51%,44%,0.0,0%,0.00,73%,205 lbs.,5444c5a201d3ee5a,Jamahal Hill,12-4-0 (1 NC)
"May 25, 1991","5' 9""","72""",3.96,3.81,Orthodox,35%,56%,0.2,35%,0.91,70%,135 lbs.,544d7460b3e44393,Albert Morales,7-4-1
"Nov 20, 1995","5' 4""","67""",2.46,4.62,Orthodox,43%,59%,1.8,57%,4.54,100%,115 lbs.,545092d13c67aa49,Alexia Thainara,14-1-0
"Jun 19, 1983","5' 6""","69""",4.09,3.69,Orthodox,46%,57%,1.0,45%,3.00,31%,125 lbs.,54578e5927adea53,Richie Vaculik,10-4-0
"May 28, 1976","6' 2""","77""",2.42,2.55,Orthodox,39%,63%,0.8,25%,0.39,64%,185 lbs.,546015aa2ad945fd,Rory Singer,11-9-0
"Mar 05, 1986","5' 6""","66""",1.78,0.96,Orthodox,40%,46%,0.7,62%,3.61,50%,125 lbs.,546f8599a63c29da,Robert Sanchez,8-2-0
"Jan 08, 1989","6' 0""","77""",3.72,5.33,Orthodox,59%,55%,0.2,34%,2.11,90%,185 lbs.,547afe1017e72dbe,Phil Hawes,12-6-0
"Oct 19, 1981","5' 9""",--,2.73,1.09,Southpaw,41%,35%,1.2,60%,3.51,0%,185 lbs.,54ed8dc6f8c31207,Gilbert Smith,12-6-0
"Jan 21, 1997","5' 7""","69""",3.97,4.82,Orthodox,50%,62%,0.9,57%,1.73,95%,155 lbs.,54f64b5e283b0ce7,Ilia Topuria,17-1-0
"Sep 23, 1996","5' 8""","70""",3.11,6.16,Orthodox,53%,45%,0.0,50%,6.54,0%,145 lbs.,5537efc6e496dd84,Aaron Pico,14-5-0
"Dec 24, 1985","5' 10""","70""",3.39,3.54,Southpaw,47%,57%,0.5,28%,0.46,57%,155 lbs.,5580771f383e141f,Jesse Ronson,21-12-0 (1 NC)
"Oct 08, 1976","5' 9""","70""",2.25,2.57,Orthodox,43%,60%,0.3,41%,0.61,39%,170 lbs.,55a7b2d4e54ffac9,Ryo Chonan,22-13-0
"Aug 11, 1990","5' 8""","69""",4.47,3.04,Orthodox,37%,52%,0.0,20%,0.30,68%,145 lbs.,55ed59d541f8b90c,Rolando Dy,9-7-1 (1 NC)
"Feb 23, 1989","5' 9""","70""",2.97,2.48,Southpaw,51%,55%,0.5,33%,2.36,70%,155 lbs.,55ee431411ccf07a,Olivier Aubin-Mercier,11-5-0
"Aug 06, 1985","5' 7""","69""",3.18,3.45,Orthodox,35%,61%,0.2,58%,1.60,78%,125 lbs.,55f446032177b119,Chris Beal,10-5-0
"Aug 05, 1987","5' 9""","74""",2.96,1.65,Orthodox,53%,41%,2.6,44%,1.03,55%,135 lbs.,55f80a8aeffcdb33,Dustin Pague,12-11-0
"Aug 29, 1988","5' 4""","66""",5.86,5.24,Switch,43%,52%,0.2,19%,1.30,75%,125 lbs.,55fa6ce3e522c8bb,Zhalgas Zhumagulov,14-9-0
"Jun 14, 1980","5' 11""","75""",0.89,1.80,Orthodox,55%,69%,1.7,53%,2.32,84%,170 lbs.,56116a79e4deed06,Claude Patrick,14-2-0
"Jun 18, 1996","6' 1""","79""",3.56,0.00,Orthodox,0%,50%,0.0,0%,0.00,0%,185 lbs.,563a1d42bb0e3cef,Tre'ston Vines,10-4-0
"Aug 04, 1983","6' 3""",--,1.29,4.44,,58%,72%,3.5,25%,1.75,40%,185 lbs.,564c2f5f9eb45d67,Mike King,5-1-0
"Nov 16, 1979","5' 7""",--,4.32,2.88,Orthodox,46%,67%,0.7,43%,4.88,0%,155 lbs.,5669b828e7e11329,David Kaplan,3-4-0
"Apr 05, 1989","5' 11""","67""",1.96,1.78,Orthodox,35%,49%,1.7,33%,1.67,45%,135 lbs.,56709e66f1c6008f,Cole Smith,7-2-0
"Feb 20, 1991","5' 7""","65""",4.88,3.18,Orthodox,47%,43%,0.6,0%,0.00,53%,125 lbs.,568bbad0eaced57c,Shanna Young,9-6-0
"Mar 31, 1980","6' 4""","77""",3.35,3.93,Orthodox,51%,49%,0.8,62%,1.33,50%,205 lbs.,56b8b24f65f9f057,Mike Kyle,22-14-1 (2 NC)
"Sep 22, 1985","6' 2""",--,4.40,3.13,,37%,72%,0.0,0%,0.00,0%,170 lbs.,56bc9ccb609df534,Chuck O'Neil,17-9-0
"Feb 21, 1981","5' 7""","68""",2.64,2.40,Orthodox,43%,48%,0.3,18%,1.04,53%,125 lbs.,56c9acc4e86046a2,Chris Kelades,9-3-0
--,"6' 2""",--,0.00,0.00,,0%,0%,0.0,0%,0.00,0%,170 lbs.,56f4b81ec4db61af,Courtney Turner,0-3-0
"Feb 25, 1988","6' 2""","76""",2.73,4.46,Orthodox,62%,58%,0.0,7%,0.38,100%,205 lbs.,56f7d7ee06be4aab,Zac Pauga,7-3-0
"Jan 03, 1987","5' 7""","72""",4.45,2.09,Orthodox,45%,56%,0.4,28%,4.06,50%,145 lbs.,56fcb2c4d99f9d1b,Mike Grundy,12-4-0
"Jun 29, 1988","6' 3""",--,7.32,4.15,Orthodox,43%,40%,0.0,100%,3.97,16%,245 lbs.,5713c1d2fac539ac,Cody East,12-3-0
"Jan 01, 1995","5' 8""","69""",2.82,2.75,Orthodox,50%,40%,0.5,80%,2.17,66%,145 lbs.,57186c150c645200,Jeka Saragih,14-5-0
"May 31, 1981","5' 11""",--,4.91,1.12,Orthodox,28%,44%,1.5,38%,3.64,100%,155 lbs.,5731cc327790b731,Matt Veach,17-5-0
"May 24, 1985","6' 0""",--,4.37,2.73,Orthodox,29%,55%,0.5,0%,0.00,37%,170 lbs.,575360be653ad6a6,Hernani Perpetuo,18-5-0 (1 NC)
